Time (s),Voltage (V)
0.002354,0.628672
0.002355,0.634922
0.002356,0.636172
0.002357,0.643672
0.002358,0.651172
0.002359,0.654922
0.00236,0.656172
0.002361,0.668672
0.002362,0.669922
0.002363,0.678672
0.002364,0.679922
0.002365,0.687422
0.002366,0.691172
0.002367,0.698672
0.002368,0.701172
0.002369,0.707422
0.00237,0.713672
0.002371,0.717422
0.002372,0.718672
0.002373,0.723672
0.002374,0.726172
0.002375,0.732422
0.002376,0.737422
0.002377,0.739922
0.002378,0.746172
0.002379,0.747422
0.00238,0.751172
0.002381,0.756172
0.002382,0.762422
0.002383,0.764922
0.002384,0.763672
0.002385,0.772422
0.002386,0.776172
0.002387,0.778672
0.002388,0.778672
0.002389,0.786172
0.00239,0.784922
0.002391,0.789922
0.002392,0.789922
0.002393,0.797422
0.002394,0.797422
0.002395,0.799922
0.002396,0.798672
0.002397,0.804922
0.002398,0.807422
0.002399,0.809922
0.0024,0.807422
0.002401,0.809922
0.002402,0.812422
0.002403,0.816172
0.002404,0.812422
0.002405,0.819922
0.002406,0.818672
0.002407,0.819922
0.002408,0.818672
0.002409,0.821172
0.00241,0.821172
0.002411,0.816172
0.002412,0.819922
0.002413,0.822422
0.002414,0.819922
0.002415,0.821172
0.002416,0.823672
0.002417,0.821172
0.002418,0.823672
0.002419,0.819922
0.00242,0.817422
0.002421,0.819922
0.002422,0.817422
0.002423,0.816172
0.002424,0.817422
0.002425,0.818672
0.002426,0.816172
0.002427,0.811172
0.002428,0.807422
0.002429,0.807422
0.00243,0.808672
0.002431,0.803672
0.002432,0.802422
0.002433,0.798672
0.002434,0.796172
0.002435,0.796172
0.002436,0.794922
0.002437,0.793672
0.002438,0.789922
0.002439,0.787422
0.00244,0.784922
0.002441,0.781172
0.002442,0.778672
0.002443,0.777422
0.002444,0.772422
0.002445,0.771172
0.002446,0.766172
0.002447,0.764922
0.002448,0.762422
0.002449,0.757422
0.00245,0.756172
0.002451,0.749922
0.002452,0.747422
0.002453,0.747422
0.002454,0.742422
0.002455,0.739922
0.002456,0.736172
0.002457,0.729922
0.002458,0.732422
0.002459,0.724922
0.00246,0.717422
0.002461,0.717422
0.002462,0.714922
0.002463,0.708672
0.002464,0.703672
0.002465,0.703672
0.002466,0.699922
0.002467,0.694922
0.002468,0.689922
0.002469,0.688672
0.00247,0.683672
0.002471,0.677422
0.002472,0.672422
0.002473,0.671172
0.002474,0.666172
0.002475,0.664922
0.002476,0.654922
0.002477,0.654922
0.002478,0.654922
0.002479,0.647422
0.00248,0.644922
0.002481,0.639922
0.002482,0.638672
0.002483,0.631172
0.002484,0.628672
0.002485,0.621172
0.002486,0.618672
0.002487,0.618672
0.002488,0.612422
0.002489,0.604922
0.00249,0.607422
0.002491,0.597422
0.002492,0.596172
0.002493,0.596172
0.002494,0.587422
0.002495,0.583672
0.002496,0.579922
0.002497,0.579922
0.002498,0.573672
0.002499,0.571172
0.0025,0.568672
0.002501,0.566172
0.002502,0.556172
0.002503,0.554922
0.002504,0.549922
0.002505,0.552422
0.002506,0.543672
0.002507,0.544922
0.002508,0.537422
0.002509,0.534922
0.00251,0.532422
0.002511,0.528672
0.002512,0.524922
0.002513,0.521172
0.002514,0.519922
0.002515,0.514922
0.002516,0.511172
0.002517,0.506172
0.002518,0.507422
0.002519,0.498672
0.00252,0.498672
0.002521,0.492422
0.002522,0.491172
0.002523,0.488672
0.002524,0.482422
0.002525,0.483672
0.002526,0.479922
0.002527,0.474922
0.002528,0.473672
0.002529,0.471172
0.00253,0.468672
0.002531,0.464922
0.002532,0.457422
0.002533,0.459922
0.002534,0.457422
0.002535,0.453672
0.002536,0.449922
0.002537,0.446172
0.002538,0.444922
0.002539,0.441172
0.00254,0.434922
0.002541,0.436172
0.002542,0.434922
0.002543,0.431172
0.002544,0.428672
0.002545,0.426172
0.002546,0.423672
0.002547,0.419922
0.002548,0.417422
0.002549,0.411172
0.00255,0.409922
0.002551,0.412422
0.002552,0.407422
0.002553,0.406172
0.002554,0.403672
0.002555,0.401172
0.002556,0.397422
0.002557,0.396172
0.002558,0.394922
0.002559,0.391172
0.00256,0.389922
0.002561,0.389922
0.002562,0.386172
0.002563,0.384922
0.002564,0.378672
0.002565,0.379922
0.002566,0.378672
0.002567,0.376172
0.002568,0.376172
0.002569,0.371172
0.00257,0.369922
0.002571,0.368672
0.002572,0.363672
0.002573,0.366172
0.002574,0.362422
0.002575,0.358672
0.002576,0.356172
0.002577,0.353672
0.002578,0.353672
0.002579,0.352422
0.00258,0.349922
0.002581,0.344922
0.002582,0.344922
0.002583,0.341172
0.002584,0.343672
0.002585,0.338672
0.002586,0.336172
0.002587,0.336172
0.002588,0.328672
0.002589,0.331172
0.00259,0.332422
0.002591,0.328672
0.002592,0.322422
0.002593,0.324922
0.002594,0.322422
0.002595,0.321172
0.002596,0.317422
0.002597,0.317422
0.002598,0.318672
0.002599,0.316172
0.0026,0.313672
0.002601,0.309922
0.002602,0.312422
0.002603,0.307422
0.002604,0.304922
0.002605,0.304922
0.002606,0.307422
0.002607,0.301172
0.002608,0.299922
0.002609,0.298672
0.00261,0.301172
0.002611,0.297422
0.002612,0.294922
0.002613,0.293672
0.002614,0.293672
0.002615,0.288672
0.002616,0.289922
0.002617,0.289922
0.002618,0.288672
0.002619,0.286172
0.00262,0.284922
0.002621,0.281172
0.002622,0.281172
0.002623,0.278672
0.002624,0.277422
0.002625,0.277422
0.002626,0.277422
0.002627,0.274922
0.002628,0.272422
0.002629,0.273672
0.00263,0.273672
0.002631,0.272422
0.002632,0.264922
0.002633,0.267422
0.002634,0.266172
0.002635,0.267422
0.002636,0.262422
0.002637,0.258672
0.002638,0.263672
0.002639,0.258672
0.00264,0.257422
0.002641,0.257422
0.002642,0.257422
0.002643,0.257422
0.002644,0.252422
0.002645,0.254922
0.002646,0.252422
0.002647,0.252422
0.002648,0.249922
0.002649,0.253672
0.00265,0.253672
0.002651,0.248672
0.002652,0.241172
0.002653,0.246172
0.002654,0.244922
0.002655,0.242422
0.002656,0.239922
0.002657,0.242422
0.002658,0.241172
0.002659,0.236172
0.00266,0.238672
0.002661,0.238672
0.002662,0.239922
0.002663,0.234922
0.002664,0.234922
0.002665,0.232422
0.002666,0.231172
0.002667,0.232422
0.002668,0.232422
0.002669,0.229922
0.00267,0.229922
0.002671,0.226172
0.002672,0.228672
0.002673,0.224922
0.002674,0.228672
0.002675,0.223672
0.002676,0.223672
0.002677,0.226172
0.002678,0.222422
0.002679,0.223672
0.00268,0.222422
0.002681,0.222422
0.002682,0.221172
0.002683,0.219922
0.002684,0.216172
0.002685,0.217422
0.002686,0.217422
0.002687,0.218672
0.002688,0.216172
0.002689,0.213672
0.00269,0.211172
0.002691,0.214922
0.002692,0.216172
0.002693,0.213672
0.002694,0.211172
0.002695,0.211172
0.002696,0.207422
0.002697,0.208672
0.002698,0.207422
0.002699,0.211172
0.0027,0.204922
0.002701,0.204922
0.002702,0.206172
0.002703,0.204922
0.002704,0.203672
0.002705,0.207422
0.002706,0.202422
0.002707,0.202422
0.002708,0.202422
0.002709,0.202422
0.00271,0.202422
0.002711,0.201172
0.002712,0.196172
0.002713,0.199922
0.002714,0.198672
0.002715,0.194922
0.002716,0.197422
0.002717,0.196172
0.002718,0.197422
0.002719,0.196172
0.00272,0.193672
0.002721,0.194922
0.002722,0.193672
0.002723,0.193672
0.002724,0.188672
0.002725,0.189922
0.002726,0.191172
0.002727,0.189922
0.002728,0.189922
0.002729,0.192422
0.00273,0.192422
0.002731,0.187422
0.002732,0.189922
0.002733,0.186172
0.002734,0.188672
0.002735,0.187422
0.002736,0.187422
0.002737,0.184922
0.002738,0.186172
0.002739,0.188672
0.00274,0.183672
0.002741,0.186172
0.002742,0.183672
0.002743,0.182422
0.002744,0.177422
0.002745,0.177422
0.002746,0.181172
0.002747,0.181172
0.002748,0.174922
0.002749,0.179922
0.00275,0.176172
0.002751,0.181172
0.002752,0.174922
0.002753,0.177422
0.002754,0.176172
0.002755,0.179922
0.002756,0.174922
0.002757,0.174922
0.002758,0.174922
0.002759,0.177422
0.00276,0.176172
0.002761,0.172422
0.002762,0.174922
0.002763,0.176172
0.002764,0.172422
0.002765,0.173672
0.002766,0.174922
0.002767,0.171172
0.002768,0.171172
0.002769,0.171172
0.00277,0.169922
0.002771,0.169922
0.002772,0.169922
0.002773,0.169922
0.002774,0.168672
0.002775,0.164922
0.002776,0.168672
0.002777,0.166172
0.002778,0.167422
0.002779,0.166172
0.00278,0.166172
0.002781,0.164922
0.002782,0.168672
0.002783,0.167422
0.002784,0.166172
0.002785,0.168672
0.002786,0.167422
0.002787,0.166172
0.002788,0.166172
0.002789,0.162422
0.00279,0.164922
0.002791,0.163672
0.002792,0.162422
0.002793,0.163672
0.002794,0.163672
0.002795,0.163672
0.002796,0.161172
0.002797,0.161172
0.002798,0.163672
0.002799,0.163672
0.0028,0.159922
0.002801,0.162422
0.002802,0.162422
0.002803,0.161172
0.002804,0.157422
0.002805,0.157422
0.002806,0.161172
0.002807,0.159922
0.002808,0.156172
0.002809,0.163672
0.00281,0.158672
0.002811,0.161172
0.002812,0.158672
0.002813,0.159922
0.002814,0.161172
0.002815,0.158672
0.002816,0.156172
0.002817,0.158672
0.002818,0.157422
0.002819,0.157422
0.00282,0.154922
0.002821,0.156172
0.002822,0.158672
0.002823,0.156172
0.002824,0.153672
0.002825,0.156172
0.002826,0.156172
0.002827,0.156172
0.002828,0.154922
0.002829,0.158672
0.00283,0.156172
0.002831,0.154922
